identifier,hz,nObjects,nTargets,cueDuration,gapDuration,SOA,min_gapOnset,max_gapOnset,postProbeDuration,block,trial,gapOnset,probeType,error,wrongKeyFlag,RT
el,75,8,4,60,10,12,60,180,60,2,75,176,1,0,0,702
el,75,8,4,60,10,96,60,180,60,2,76,137,1,0,0,702
el,75,8,4,60,10,3,60,180,60,2,77,157,1,0,0,822
el,75,8,4,60,10,12,60,180,60,2,78,156,1,0,0,823
el,75,8,4,60,10,6,60,180,60,2,79,68,2,0,0,743
el,75,8,4,60,10,12,60,180,60,2,80,81,2,1,0,1223
el,75,8,4,60,10,6,60,180,60,2,81,133,1,1,0,863
el,75,8,4,60,10,3,60,180,60,2,82,155,1,1,0,1063
el,75,8,4,60,10,6,60,180,60,2,83,120,2,1,0,902
el,75,8,4,60,10,12,60,180,60,2,84,89,2,0,0,903
el,75,8,4,60,10,12,60,180,60,2,85,175,1,0,0,1223
el,75,8,4,60,10,6,60,180,60,2,86,73,2,0,0,1063
el,75,8,4,60,10,96,60,180,60,2,87,165,1,0,0,1103
el,75,8,4,60,10,6,60,180,60,2,88,140,2,1,0,862
el,75,8,4,60,10,3,60,180,60,2,89,63,2,0,0,863
el,75,8,4,60,10,3,60,180,60,2,90,92,2,0,0,1223
el,75,8,4,60,10,96,60,180,60,2,91,122,2,0,0,903
el,75,8,4,60,10,0,60,180,60,2,92,111,2,0,0,1103
el,75,8,4,60,10,6,60,180,60,2,93,146,1,0,0,1263
el,75,8,4,60,10,96,60,180,60,2,94,101,2,1,0,903
el,75,8,4,60,10,6,60,180,60,2,95,155,1,1,0,1303
el,75,8,4,60,10,6,60,180,60,2,96,109,2,0,0,1423
el,75,8,4,60,10,9,60,180,60,2,97,119,2,0,0,983
el,75,8,4,60,10,6,60,180,60,2,98,134,2,0,0,822
el,75,8,4,60,10,3,60,180,60,2,99,178,1,1,0,743
el,75,8,4,60,10,12,60,180,60,2,100,63,2,0,0,1223
el,75,8,4,60,10,9,60,180,60,2,101,149,2,1,0,1183
el,75,8,4,60,10,3,60,180,60,2,102,156,1,0,0,1223
el,75,8,4,60,10,6,60,180,60,2,103,152,2,0,0,703
el,75,8,4,60,10,9,60,180,60,2,104,169,2,1,0,1143
el,75,8,4,60,10,9,60,180,60,2,105,79,1,0,0,1023
el,75,8,4,60,10,9,60,180,60,2,106,105,2,0,0,783
el,75,8,4,60,10,96,60,180,60,2,107,140,2,0,0,1022
el,75,8,4,60,10,0,60,180,60,2,108,146,2,0,0,942
el,75,8,4,60,10,0,60,180,60,2,109,94,1,1,0,822
el,75,8,4,60,10,0,60,180,60,2,110,86,1,0,0,823
el,75,8,4,60,10,6,60,180,60,2,111,148,2,1,0,983
el,75,8,4,60,10,6,60,180,60,2,112,74,1,0,0,1183
el,75,8,4,60,10,12,60,180,60,2,113,152,1,1,0,1303
el,75,8,4,60,10,96,60,180,60,2,114,98,1,0,0,1223
el,75,8,4,60,10,0,60,180,60,2,115,100,2,0,0,1623
el,75,8,4,60,10,96,60,180,60,2,116,125,2,0,0,983
el,75,8,4,60,10,6,60,180,60,2,117,172,1,0,0,1623
el,75,8,4,60,10,9,60,180,60,2,118,177,1,0,0,1063
el,75,8,4,60,10,6,60,180,60,2,119,87,2,0,0,783
el,75,8,4,60,10,96,60,180,60,2,120,139,2,0,0,1143
el,75,8,4,60,10,3,60,180,60,2,121,123,2,0,0,743
el,75,8,4,60,10,9,60,180,60,2,122,116,2,0,0,702
el,75,8,4,60,10,12,60,180,60,2,123,112,2,0,0,863
el,75,8,4,60,10,96,60,180,60,2,124,138,2,0,0,863
el,75,8,4,60,10,0,60,180,60,2,125,61,1,1,0,943
el,75,8,4,60,10,12,60,180,60,2,126,99,2,0,0,702
el,75,8,4,60,10,3,60,180,60,2,127,103,1,0,0,1223
el,75,8,4,60,10,9,60,180,60,2,128,172,2,0,0,742
el,75,8,4,60,10,9,60,180,60,2,129,151,1,1,0,863
el,75,8,4,60,10,6,60,180,60,2,130,164,2,0,0,1263
el,75,8,4,60,10,12,60,180,60,2,131,153,1,1,0,863
